Exception_ID,Trade_ID,Exception_Type,Severity,Priority,Status,Owner,Created_Date,Last_Updated,Resolution_Time_Hours,Root_Cause,Escalated
EX00234,TRD100071,FX Rate Mismatch,Low,P3,Open,Arjun,2026-02-25,2026-02-26,,Late Confirmation,No
EX00235,TRD100546,Confirmation Mismatch,Low,P3,Open,Riya,2026-06-21,2026-06-22,,Holiday Calendar,No
EX00236,TRD100129,Settlement Failure,Low,P3,In Progress,Neha,2026-05-12,2026-05-14,,SSI Missing,No
EX00237,TRD100132,Trade Capture Error,Medium,P2,Resolved,Ankit,2026-02-25,2026-03-01,36,Late Confirmation,No
EX00238,TRD100676,Confirmation Mismatch,Medium,P2,Open,Ankit,2026-02-05,2026-02-05,,Price Difference,No
EX00239,TRD100487,Confirmation Mismatch,High,P1,In Progress,Riya,2026-05-24,2026-05-27,,Incorrect Trade Date,Yes
EX00240,TRD100563,SSI Missing,Low,P3,Resolved,Riya,2026-01-03,2026-01-08,2,Broker Error,No
EX00241,TRD100170,Settlement Failure,Medium,P2,Resolved,Sneha,2026-05-04,2026-05-07,8,Wrong Counterparty,No
EX00242,TRD100856,Position Break,Medium,P2,Open,Priya,2026-03-21,2026-03-21,,Manual Error,No
EX00243,TRD100541,Settlement Failure,Low,P3,Resolved,Rahul,2026-06-29,2026-07-02,4,System Issue,No
EX00244,TRD100622,Broker Mismatch,Medium,P2,Resolved,Karan,2026-05-31,2026-06-04,8,Trade Amendment,No
EX00245,TRD100434,Cash Break,Low,P3,Resolved,Priya,2026-01-10,2026-01-11,48,Broker Error,No
EX00246,TRD100867,Cash Break,Medium,P2,Open,Neha,2026-01-11,2026-01-13,,Wrong Counterparty,No
EX00247,TRD100785,Position Break,Medium,P2,Resolved,Arjun,2026-01-11,2026-01-15,48,SSI Missing,No
EX00248,TRD100939,Trade Capture Error,Medium,P2,Resolved,Rahul,2026-05-31,2026-06-03,12,System Issue,No
EX00249,TRD100707,Late Confirmation,Medium,P2,Resolved,Rahul,2026-04-05,2026-04-08,8,System Issue,No
EX00250,TRD100206,Confirmation Mismatch,Medium,P2,Open,Karan,2026-01-18,2026-01-20,,System Issue,No
EX00251,TRD100731,Booking Error,High,P1,Open,Arjun,2026-03-03,2026-03-05,,Wrong Counterparty,Yes
EX00252,TRD100320,FX Rate Mismatch,Medium,P2,In Progress,Arjun,2026-03-10,2026-03-11,,Holiday Calendar,No
EX00253,TRD100845,Trade Capture Error,Low,P3,In Progress,Ankit,2026-06-25,2026-06-28,,Wrong Counterparty,No
EX00254,TRD100688,Confirmation Mismatch,Low,P3,Resolved,Sneha,2026-04-06,2026-04-09,24,Manual Error,No
EX00255,TRD100972,Broker Mismatch,Low,P3,In Progress,Priya,2026-07-02,2026-07-05,,Trade Amendment,No
EX00256,TRD100832,Trade Capture Error,Medium,P2,Open,Karan,2026-03-09,2026-03-11,,SSI Missing,No
EX00257,TRD100449,Broker Mismatch,Low,P3,Resolved,Riya,2026-03-30,2026-04-01,12,Broker Error,No
EX00258,TRD100530,Settlement Failure,Medium,P2,Open,Riya,2026-01-27,2026-01-28,,System Issue,No
EX00259,TRD100463,Settlement Failure,Low,P3,Open,Riya,2026-06-12,2026-06-12,,Incorrect Trade Date,No
EX00260,TRD100124,FX Rate Mismatch,Low,P3,Open,Rahul,2026-04-08,2026-04-08,,System Issue,No
EX00261,TRD100254,Position Break,Medium,P2,Open,Arjun,2026-05-24,2026-05-26,,Holiday Calendar,No
EX00262,TRD100231,Confirmation Mismatch,Medium,P2,In Progress,Priya,2026-04-08,2026-04-10,,Incorrect Trade Date,No
EX00263,TRD100828,Trade Capture Error,High,P1,In Progress,Rahul,2026-02-21,2026-02-24,,Manual Error,Yes
EX00264,TRD100347,Position Break,Low,P3,Resolved,Ankit,2026-03-03,2026-03-08,12,Price Difference,No
EX00265,TRD100022,Settlement Failure,Medium,P2,Resolved,Riya,2026-06-28,2026-06-29,36,Wrong Counterparty,No
EX00266,TRD100603,Trade Capture Error,Low,P3,In Progress,Sneha,2026-06-06,2026-06-07,,SSI Missing,No
EX00267,TRD100568,Trade Capture Error,Medium,P2,Resolved,Rahul,2026-04-05,2026-04-06,36,Holiday Calendar,No
EX00268,TRD100236,Broker Mismatch,Medium,P2,Open,Neha,2026-02-12,2026-02-12,,Price Difference,No
EX00269,TRD100735,Late Confirmation,Low,P3,Open,Arjun,2026-06-26,2026-06-28,,Price Difference,No
EX00270,TRD100968,Position Break,Medium,P2,Resolved,Neha,2026-06-24,2026-06-26,24,System Issue,No
EX00271,TRD100008,Broker Mismatch,High,P1,In Progress,Karan,2026-04-28,2026-05-01,,Manual Error,Yes
EX00272,TRD100073,Broker Mismatch,Low,P3,In Progress,Arjun,2026-05-28,2026-05-30,,Holiday Calendar,No
EX00273,TRD100725,FX Rate Mismatch,Medium,P2,Resolved,Ankit,2026-01-09,2026-01-14,48,Price Difference,No
EX00274,TRD100647,Broker Mismatch,Medium,P2,Open,Riya,2026-04-20,2026-04-20,,Holiday Calendar,No
EX00275,TRD100061,Cash Break,Medium,P2,Resolved,Sneha,2026-06-05,2026-06-07,8,Broker Error,No
EX00276,TRD100875,Position Break,Low,P3,Resolved,Rahul,2026-03-30,2026-04-02,2,SSI Missing,No
EX00277,TRD100070,Trade Capture Error,High,P1,Open,Arjun,2026-02-21,2026-02-23,,System Issue,Yes
EX00278,TRD100873,FX Rate Mismatch,Low,P3,Resolved,Ankit,2026-04-06,2026-04-07,36,Wrong Counterparty,No
EX00279,TRD100339,Booking Error,Low,P3,Resolved,Riya,2026-01-19,2026-01-22,24,Broker Error,No
EX00280,TRD100729,FX Rate Mismatch,Medium,P2,Resolved,Karan,2026-06-28,2026-07-03,8,SSI Missing,No
EX00281,TRD100527,Cash Break,Low,P3,Open,Arjun,2026-06-15,2026-06-15,,Holiday Calendar,No
EX00282,TRD100244,Late Confirmation,High,P1,In Progress,Riya,2026-04-06,2026-04-07,,System Issue,Yes
EX00283,TRD100286,FX Rate Mismatch,High,P1,Resolved,Arjun,2026-06-05,2026-06-07,24,System Issue,No
EX00284,TRD100686,FX Rate Mismatch,Low,P3,Resolved,Priya,2026-01-11,2026-01-15,36,Incorrect Trade Date,No
EX00285,TRD100768,Broker Mismatch,High,P1,Open,Rahul,2026-06-29,2026-06-29,,Late Confirmation,No
EX00286,TRD100220,Position Break,High,P1,In Progress,Priya,2026-01-22,2026-01-23,,Price Difference,No
EX00287,TRD100754,Cash Break,High,P1,Resolved,Rahul,2026-05-08,2026-05-12,24,Wrong Counterparty,No
EX00288,TRD100136,FX Rate Mismatch,Medium,P2,In Progress,Rahul,2026-06-16,2026-06-19,,Manual Error,No
EX00289,TRD100585,Broker Mismatch,Medium,P2,Resolved,Neha,2026-03-10,2026-03-13,24,Manual Error,No
EX00290,TRD100591,Confirmation Mismatch,Medium,P2,Open,Sneha,2026-05-25,2026-05-25,,Late Confirmation,No
EX00291,TRD100485,Booking Error,High,P1,Resolved,Riya,2026-02-02,2026-02-05,8,SSI Missing,No
EX00292,TRD100249,Booking Error,Medium,P2,Resolved,Sneha,2026-05-05,2026-05-07,4,Manual Error,No
EX00293,TRD100710,Settlement Failure,High,P1,Resolved,Priya,2026-03-23,2026-03-24,12,SSI Missing,No
EX00294,TRD100417,Broker Mismatch,Medium,P2,Resolved,Rahul,2026-03-27,2026-03-28,24,Price Difference,No
EX00295,TRD100195,Booking Error,Medium,P2,In Progress,Rahul,2026-02-28,2026-03-02,,SSI Missing,No
EX00296,TRD100097,SSI Missing,Medium,P2,Resolved,Arjun,2026-04-26,2026-04-27,24,Manual Error,No
EX00297,TRD100947,Booking Error,Low,P3,Open,Priya,2026-04-02,2026-04-02,,Wrong Counterparty,No
EX00298,TRD100675,Broker Mismatch,Medium,P2,In Progress,Arjun,2026-01-17,2026-01-20,,Holiday Calendar,No
EX00299,TRD100442,Settlement Failure,Low,P3,Resolved,Sneha,2026-03-16,2026-03-19,24,Holiday Calendar,No
EX00300,TRD100363,Late Confirmation,Medium,P2,Resolved,Riya,2026-04-30,2026-05-05,48,Incorrect Trade Date,No
EX00301,TRD100756,Cash Break,High,P1,Resolved,Riya,2026-06-30,2026-07-02,12,Holiday Calendar,No
EX00302,TRD100421,Booking Error,High,P1,Open,Ankit,2026-07-02,2026-07-02,,SSI Missing,No
EX00303,TRD100479,Cash Break,High,P1,Resolved,Arjun,2026-01-11,2026-01-15,4,SSI Missing,No
EX00304,TRD100056,Confirmation Mismatch,High,P1,In Progress,Priya,2026-05-16,2026-05-18,,SSI Missing,No
EX00305,TRD100690,Confirmation Mismatch,High,P1,Resolved,Rahul,2026-02-02,2026-02-06,24,SSI Missing,No
EX00306,TRD100670,Position Break,Medium,P2,Resolved,Rahul,2026-06-24,2026-06-27,48,System Issue,No
EX00307,TRD100662,Late Confirmation,Medium,P2,Open,Priya,2026-02-14,2026-02-14,,Holiday Calendar,No
EX00308,TRD100101,Confirmation Mismatch,High,P1,Resolved,Priya,2026-02-14,2026-02-16,12,Holiday Calendar,No
EX00309,TRD100063,Trade Capture Error,Medium,P2,Resolved,Karan,2026-02-27,2026-03-02,8,Wrong Counterparty,No
EX00310,TRD100413,Position Break,Medium,P2,Resolved,Arjun,2026-01-24,2026-01-25,8,Wrong Counterparty,No
EX00311,TRD100348,Position Break,Medium,P2,In Progress,Priya,2026-04-25,2026-04-27,,System Issue,No
EX00312,TRD100112,Cash Break,Medium,P2,In Progress,Priya,2026-04-18,2026-04-20,,Holiday Calendar,No
EX00313,TRD100255,Trade Capture Error,Low,P3,Resolved,Arjun,2026-03-10,2026-03-15,12,Holiday Calendar,No
EX00314,TRD100924,Late Confirmation,Medium,P2,Open,Ankit,2026-06-13,2026-06-13,,Wrong Counterparty,No
EX00315,TRD100706,Trade Capture Error,Low,P3,Resolved,Karan,2026-05-11,2026-05-15,2,System Issue,No
EX00316,TRD100815,SSI Missing,Low,P3,Resolved,Neha,2026-03-02,2026-03-06,36,Price Difference,No
EX00317,TRD100967,Confirmation Mismatch,Medium,P2,Resolved,Karan,2026-06-14,2026-06-18,48,Wrong Counterparty,No
EX00318,TRD100144,Broker Mismatch,Medium,P2,Resolved,Rahul,2026-02-25,2026-03-01,48,Incorrect Trade Date,No
EX00319,TRD100830,Confirmation Mismatch,Low,P3,In Progress,Sneha,2026-03-31,2026-04-03,,Price Difference,No
EX00320,TRD100188,Late Confirmation,Medium,P2,Resolved,Riya,2026-05-05,2026-05-06,24,Incorrect Trade Date,No
EX00321,TRD100718,Trade Capture Error,Low,P3,Resolved,Ankit,2026-01-07,2026-01-10,2,Broker Error,No
EX00322,TRD100913,SSI Missing,Medium,P2,Resolved,Arjun,2026-04-29,2026-05-04,24,Manual Error,No
EX00323,TRD100256,Cash Break,Medium,P2,Resolved,Neha,2026-06-17,2026-06-19,2,Incorrect Trade Date,No
EX00324,TRD100078,Confirmation Mismatch,Medium,P2,Resolved,Karan,2026-01-17,2026-01-21,8,Broker Error,No
EX00325,TRD100454,Confirmation Mismatch,Medium,P2,Resolved,Priya,2026-03-14,2026-03-17,2,Price Difference,No
EX00326,TRD100564,Position Break,Medium,P2,Open,Karan,2026-05-15,2026-05-17,,Price Difference,No
EX00327,TRD100990,Position Break,Low,P3,Open,Riya,2026-03-24,2026-03-26,,Manual Error,No
EX00328,TRD100052,Position Break,Low,P3,In Progress,Riya,2026-05-24,2026-05-27,,Manual Error,No
EX00329,TRD100668,Broker Mismatch,Low,P3,Resolved,Priya,2026-02-06,2026-02-07,24,Incorrect Trade Date,No
EX00330,TRD100554,Broker Mismatch,Medium,P2,Resolved,Arjun,2026-04-06,2026-04-10,36,Wrong Counterparty,No
EX00331,TRD100016,FX Rate Mismatch,Medium,P2,Resolved,Priya,2026-03-25,2026-03-28,8,System Issue,No
EX00332,TRD100981,Cash Break,Low,P3,Open,Sneha,2026-07-03,2026-07-03,,Price Difference,No
EX00333,TRD100243,Position Break,Medium,P2,Resolved,Priya,2026-04-15,2026-04-19,24,Wrong Counterparty,No
EX00334,TRD100171,Broker Mismatch,Medium,P2,Resolved,Priya,2026-06-28,2026-06-30,24,Broker Error,No
EX00335,TRD100752,Cash Break,Medium,P2,Resolved,Rahul,2026-03-04,2026-03-05,24,Broker Error,No
EX00336,TRD100716,Position Break,High,P1,In Progress,Karan,2026-02-06,2026-02-09,,Holiday Calendar,Yes
EX00337,TRD100493,Settlement Failure,Low,P3,Resolved,Ankit,2026-05-16,2026-05-21,2,System Issue,No
EX00338,TRD100219,Late Confirmation,High,P1,Resolved,Karan,2026-06-16,2026-06-20,4,Late Confirmation,No
EX00339,TRD100870,Cash Break,Medium,P2,Open,Rahul,2026-05-04,2026-05-06,,Broker Error,No
EX00340,TRD100726,Trade Capture Error,Medium,P2,In Progress,Neha,2026-01-06,2026-01-09,,Manual Error,No
EX00341,TRD100169,Trade Capture Error,Medium,P2,Resolved,Ankit,2026-01-03,2026-01-04,12,Wrong Counterparty,No
EX00342,TRD100169,Position Break,Medium,P2,In Progress,Priya,2026-01-11,2026-01-14,,Wrong Counterparty,No
EX00343,TRD100887,Late Confirmation,High,P1,Resolved,Arjun,2026-01-22,2026-01-23,48,Late Confirmation,No
EX00344,TRD100887,Booking Error,Medium,P2,Open,Neha,2026-01-24,2026-01-26,,Wrong Counterparty,No
EX00345,TRD100003,SSI Missing,Medium,P2,In Progress,Riya,2026-06-08,2026-06-09,,Manual Error,No
EX00346,TRD100003,SSI Missing,Low,P3,In Progress,Ankit,2026-05-31,2026-06-03,,Trade Amendment,No
EX00347,TRD100400,FX Rate Mismatch,Low,P3,In Progress,Priya,2026-02-04,2026-02-06,,Wrong Counterparty,No
EX00348,TRD100400,Confirmation Mismatch,Medium,P2,Open,Sneha,2026-01-31,2026-02-01,,Holiday Calendar,No
EX00349,TRD100989,Cash Break,Medium,P2,Resolved,Rahul,2026-03-10,2026-03-14,12,SSI Missing,No
EX00350,TRD100989,Confirmation Mismatch,Low,P3,Resolved,Riya,2026-03-15,2026-03-18,36,Price Difference,No
EX00351,TRD100466,Cash Break,Low,P3,In Progress,Neha,2026-06-01,2026-06-03,,Incorrect Trade Date,No
EX00352,TRD100466,Settlement Failure,Medium,P2,Resolved,Rahul,2026-06-01,2026-06-04,48,SSI Missing,No
EX00353,TRD100293,SSI Missing,Medium,P2,In Progress,Karan,2026-02-23,2026-02-24,,Broker Error,No
EX00354,TRD100293,Booking Error,High,P1,In Progress,Priya,2026-02-26,2026-03-01,,System Issue,No
EX00355,TRD100898,Settlement Failure,High,P1,Resolved,Riya,2026-03-26,2026-03-28,8,System Issue,No
EX00356,TRD100898,Confirmation Mismatch,Low,P3,Open,Sneha,2026-03-31,2026-04-02,,Manual Error,No
EX00357,TRD100570,FX Rate Mismatch,Medium,P2,Resolved,Rahul,2026-01-26,2026-01-31,4,Manual Error,No
EX00358,TRD100570,SSI Missing,Medium,P2,In Progress,Karan,2026-01-23,2026-01-26,,SSI Missing,No
EX00359,TRD100499,Cash Break,Medium,P2,Resolved,Neha,2026-06-15,2026-06-18,2,Trade Amendment,No
EX00360,TRD100499,SSI Missing,Medium,P2,In Progress,Sneha,2026-06-16,2026-06-19,,Late Confirmation,No
EX00361,TRD100159,Cash Break,Medium,P2,Open,Ankit,2026-03-12,2026-03-13,,Trade Amendment,No
EX00362,TRD100159,Confirmation Mismatch,Low,P3,Open,Sneha,2026-03-17,2026-03-17,,Trade Amendment,No
EX00363,TRD100717,Position Break,Low,P3,Open,Arjun,2026-04-23,2026-04-24,,Trade Amendment,No
EX00364,TRD100717,Late Confirmation,Medium,P2,Open,Neha,2026-04-20,2026-04-22,,Manual Error,No
EX00365,TRD100304,Broker Mismatch,Low,P3,Open,Ankit,2026-02-21,2026-02-21,,Holiday Calendar,No
EX00366,TRD100304,Confirmation Mismatch,Medium,P2,Resolved,Ankit,2026-02-20,2026-02-24,12,Broker Error,No
EX00367,TRD100223,SSI Missing,Medium,P2,Resolved,Riya,2026-02-18,2026-02-21,8,Wrong Counterparty,No
EX00368,TRD100223,Confirmation Mismatch,Medium,P2,Open,Rahul,2026-02-20,2026-02-21,,Wrong Counterparty,No
EX00369,TRD100838,Broker Mismatch,High,P1,Resolved,Neha,2026-01-27,2026-01-31,2,Late Confirmation,No
EX00370,TRD100838,Broker Mismatch,Low,P3,Resolved,Priya,2026-02-02,2026-02-07,2,System Issue,No
EX00371,TRD100594,Broker Mismatch,High,P1,Resolved,Arjun,2026-05-19,2026-05-21,48,Holiday Calendar,No
EX00372,TRD100594,Confirmation Mismatch,Medium,P2,Open,Neha,2026-05-26,2026-05-28,,Holiday Calendar,No
EX00373,TRD100556,Confirmation Mismatch,Low,P3,In Progress,Riya,2026-03-11,2026-03-12,,SSI Missing,No
EX00374,TRD100556,SSI Missing,Medium,P2,Open,Sneha,2026-03-15,2026-03-17,,Manual Error,No
EX00375,TRD100692,Cash Break,Low,P3,Open,Neha,2026-06-30,2026-07-01,,Trade Amendment,No
EX00376,TRD100692,Confirmation Mismatch,Medium,P2,Open,Rahul,2026-07-02,2026-07-04,,Incorrect Trade Date,No
EX00377,TRD100322,Confirmation Mismatch,Low,P3,Resolved,Karan,2026-04-13,2026-04-18,8,Broker Error,No
EX00378,TRD100322,SSI Missing,Medium,P2,Resolved,Neha,2026-04-21,2026-04-24,4,SSI Missing,No
EX00379,TRD100059,Broker Mismatch,Low,P3,Open,Rahul,2026-05-01,2026-05-01,,Manual Error,No
EX00380,TRD100059,Position Break,Low,P3,Resolved,Priya,2026-04-30,2026-05-03,12,Trade Amendment,No
EX00381,TRD100673,Position Break,Low,P3,In Progress,Ankit,2026-05-26,2026-05-29,,Incorrect Trade Date,No
EX00382,TRD100673,Confirmation Mismatch,Medium,P2,In Progress,Arjun,2026-05-23,2026-05-25,,SSI Missing,No
EX00383,TRD100848,Broker Mismatch,Medium,P2,In Progress,Rahul,2026-02-21,2026-02-22,,Holiday Calendar,No
EX00384,TRD100848,Cash Break,High,P1,Resolved,Sneha,2026-02-23,2026-02-26,48,Late Confirmation,No
EX00385,TRD100489,Late Confirmation,Medium,P2,Resolved,Ankit,2026-02-20,2026-02-23,24,Broker Error,No
EX00386,TRD100489,Broker Mismatch,Medium,P2,In Progress,Ankit,2026-02-19,2026-02-22,,Trade Amendment,No
EX00387,TRD100515,Settlement Failure,High,P1,Resolved,Arjun,2026-02-22,2026-02-25,24,Manual Error,No
EX00388,TRD100515,Broker Mismatch,Low,P3,Resolved,Ankit,2026-02-23,2026-02-25,2,Holiday Calendar,No
EX00389,TRD100784,Confirmation Mismatch,Medium,P2,Resolved,Rahul,2026-05-18,2026-05-21,36,Price Difference,No
EX00390,TRD100784,Confirmation Mismatch,Low,P3,Open,Sneha,2026-05-21,2026-05-22,,Late Confirmation,No
EX00391,TRD100806,Position Break,High,P1,In Progress,Priya,2026-02-28,2026-03-03,,Price Difference,Yes
EX00392,TRD100806,Cash Break,Medium,P2,In Progress,Arjun,2026-03-05,2026-03-08,,Broker Error,No
EX00393,TRD100877,Confirmation Mismatch,Medium,P2,Resolved,Priya,2026-04-23,2026-04-28,4,SSI Missing,No
EX00394,TRD100877,Cash Break,High,P1,Resolved,Ankit,2026-04-26,2026-05-01,2,Broker Error,No
EX00395,TRD100521,Booking Error,Medium,P2,Resolved,Rahul,2026-04-13,2026-04-15,2,Price Difference,No
EX00396,TRD100521,Cash Break,Low,P3,Resolved,Riya,2026-04-13,2026-04-15,36,Late Confirmation,No
EX00397,TRD100083,FX Rate Mismatch,High,P1,Resolved,Ankit,2026-04-26,2026-04-30,2,SSI Missing,No
EX00398,TRD100083,Settlement Failure,Medium,P2,In Progress,Rahul,2026-04-26,2026-04-27,,Price Difference,No
EX00399,TRD100191,Confirmation Mismatch,High,P1,In Progress,Neha,2026-01-19,2026-01-22,,SSI Missing,Yes
EX00400,TRD100191,Confirmation Mismatch,High,P1,Resolved,Arjun,2026-01-24,2026-01-26,12,SSI Missing,No
EX00401,TRD100767,Position Break,High,P1,Resolved,Karan,2026-04-17,2026-04-21,24,Manual Error,No
EX00402,TRD100767,Booking Error,Medium,P2,Resolved,Neha,2026-04-20,2026-04-22,4,Broker Error,No
EX00403,TRD100610,Booking Error,Low,P3,Resolved,Karan,2026-05-03,2026-05-05,24,Holiday Calendar,No
EX00404,TRD100610,SSI Missing,Low,P3,Resolved,Riya,2026-04-25,2026-04-29,8,Price Difference,No
EX00405,TRD100724,Broker Mismatch,Medium,P2,Open,Rahul,2026-01-19,2026-01-21,,Holiday Calendar,No
EX00406,TRD100724,Cash Break,Low,P3,Resolved,Arjun,2026-01-24,2026-01-28,48,Holiday Calendar,No
EX00407,TRD100241,Booking Error,Medium,P2,Resolved,Rahul,2026-01-23,2026-01-24,4,Broker Error,No
EX00408,TRD100241,Confirmation Mismatch,Medium,P2,Open,Ankit,2026-01-17,2026-01-17,,Price Difference,No
EX00409,TRD100414,Late Confirmation,Medium,P2,In Progress,Riya,2026-01-11,2026-01-12,,Incorrect Trade Date,No
EX00410,TRD100414,Trade Capture Error,Low,P3,In Progress,Arjun,2026-01-13,2026-01-14,,Incorrect Trade Date,No
EX00411,TRD100123,SSI Missing,Low,P3,Resolved,Ankit,2026-06-21,2026-06-26,24,Broker Error,No
EX00412,TRD100123,Trade Capture Error,Medium,P2,Resolved,Ankit,2026-06-16,2026-06-17,2,Manual Error,No
EX00413,TRD100584,Cash Break,Medium,P2,Resolved,Priya,2026-07-01,2026-07-03,4,Incorrect Trade Date,No
EX00414,TRD100584,Broker Mismatch,High,P1,Resolved,Arjun,2026-06-24,2026-06-25,48,SSI Missing,No
EX00415,TRD100854,Confirmation Mismatch,Medium,P2,In Progress,Arjun,2026-02-27,2026-03-02,,System Issue,No
EX00416,TRD100854,FX Rate Mismatch,Medium,P2,In Progress,Arjun,2026-02-27,2026-03-02,,Trade Amendment,No
EX00417,TRD100593,Trade Capture Error,Low,P3,Open,Priya,2026-03-05,2026-03-06,,Holiday Calendar,No
EX00418,TRD100593,Settlement Failure,Medium,P2,Open,Riya,2026-02-26,2026-02-26,,Wrong Counterparty,No
EX00419,TRD100609,Confirmation Mismatch,High,P1,Open,Karan,2026-03-20,2026-03-20,,Trade Amendment,Yes
EX00420,TRD100609,Confirmation Mismatch,Medium,P2,Resolved,Arjun,2026-03-16,2026-03-18,8,Broker Error,No
EX00421,TRD100041,Confirmation Mismatch,High,P1,Resolved,Rahul,2026-03-30,2026-04-02,8,Manual Error,No
EX00422,TRD100041,FX Rate Mismatch,Medium,P2,Open,Riya,2026-03-31,2026-04-01,,Incorrect Trade Date,No
EX00423,TRD100084,Trade Capture Error,Medium,P2,Resolved,Priya,2026-04-10,2026-04-15,48,Broker Error,No
EX00424,TRD100084,Confirmation Mismatch,High,P1,In Progress,Sneha,2026-04-07,2026-04-08,,Incorrect Trade Date,Yes
EX00425,TRD100969,Cash Break,High,P1,Resolved,Karan,2026-04-18,2026-04-19,24,Manual Error,No
EX00426,TRD100969,SSI Missing,Medium,P2,Open,Rahul,2026-04-26,2026-04-27,,SSI Missing,No
EX00427,TRD100846,Broker Mismatch,Medium,P2,In Progress,Neha,2026-05-25,2026-05-28,,System Issue,No
EX00428,TRD100846,FX Rate Mismatch,Medium,P2,Resolved,Priya,2026-05-25,2026-05-30,24,Manual Error,No
EX00429,TRD100579,FX Rate Mismatch,Medium,P2,Resolved,Ankit,2026-03-06,2026-03-11,48,SSI Missing,No
EX00430,TRD100579,Confirmation Mismatch,High,P1,Resolved,Neha,2026-03-06,2026-03-10,2,Holiday Calendar,No
EX00431,TRD100536,Broker Mismatch,Medium,P2,In Progress,Riya,2026-04-19,2026-04-20,,Trade Amendment,No
EX00432,TRD100536,Booking Error,Medium,P2,Resolved,Karan,2026-04-17,2026-04-18,12,Broker Error,No
EX00433,TRD100871,SSI Missing,Medium,P2,In Progress,Sneha,2026-04-26,2026-04-27,,SSI Missing,No
EX00434,TRD100871,Trade Capture Error,Medium,P2,In Progress,Rahul,2026-04-23,2026-04-26,,Holiday Calendar,No
EX00435,TRD100268,Late Confirmation,Low,P3,Resolved,Ankit,2026-04-21,2026-04-25,36,Broker Error,No
EX00436,TRD100268,Broker Mismatch,Medium,P2,Resolved,Priya,2026-04-13,2026-04-18,24,SSI Missing,No
EX00437,TRD100210,SSI Missing,Low,P3,Resolved,Rahul,2026-05-29,2026-05-31,4,Holiday Calendar,No
EX00438,TRD100210,Late Confirmation,High,P1,Open,Neha,2026-05-30,2026-06-01,,Incorrect Trade Date,Yes
EX00439,TRD100642,Position Break,Low,P3,In Progress,Riya,2026-01-29,2026-01-30,,Late Confirmation,No
EX00440,TRD100642,Late Confirmation,Medium,P2,Resolved,Riya,2026-02-04,2026-02-05,48,SSI Missing,No
EX00441,TRD100245,Confirmation Mismatch,Medium,P2,Resolved,Sneha,2026-04-28,2026-04-29,24,System Issue,No
EX00442,TRD100245,Position Break,Low,P3,In Progress,Karan,2026-04-25,2026-04-27,,Wrong Counterparty,No
EX00443,TRD100885,Late Confirmation,Medium,P2,Resolved,Riya,2026-06-08,2026-06-10,12,Manual Error,No
EX00444,TRD100885,FX Rate Mismatch,Medium,P2,In Progress,Neha,2026-06-07,2026-06-08,,Incorrect Trade Date,No
EX00445,TRD100860,FX Rate Mismatch,High,P1,In Progress,Sneha,2026-05-12,2026-05-14,,Price Difference,Yes
EX00446,TRD100860,Position Break,High,P1,In Progress,Sneha,2026-05-15,2026-05-17,,Price Difference,Yes
EX00447,TRD100135,FX Rate Mismatch,Medium,P2,In Progress,Arjun,2026-04-14,2026-04-17,,Manual Error,No
EX00448,TRD100135,Position Break,Medium,P2,Resolved,Priya,2026-04-12,2026-04-17,36,Late Confirmation,No
EX00449,TRD100308,Settlement Failure,Low,P3,Resolved,Ankit,2026-01-28,2026-01-30,48,Manual Error,No
EX00450,TRD100308,Cash Break,Medium,P2,In Progress,Karan,2026-01-28,2026-01-30,,Late Confirmation,No
EX00451,TRD100469,Trade Capture Error,Medium,P2,In Progress,Arjun,2026-04-02,2026-04-03,,Broker Error,No
EX00452,TRD100469,Cash Break,Medium,P2,Resolved,Arjun,2026-03-30,2026-04-04,24,Trade Amendment,No
EX00453,TRD100952,Position Break,Low,P3,Resolved,Rahul,2026-06-20,2026-06-21,8,Trade Amendment,No
EX00454,TRD100952,Trade Capture Error,Low,P3,Open,Ankit,2026-06-22,2026-06-22,,System Issue,No
EX00455,TRD100075,FX Rate Mismatch,Medium,P2,Open,Priya,2026-06-08,2026-06-08,,Trade Amendment,No
EX00456,TRD100075,Booking Error,Medium,P2,Resolved,Riya,2026-06-02,2026-06-05,24,Holiday Calendar,No
EX00457,TRD100010,Broker Mismatch,Low,P3,Resolved,Riya,2026-02-09,2026-02-12,12,Wrong Counterparty,No
EX00458,TRD100010,Late Confirmation,High,P1,Open,Neha,2026-02-16,2026-02-17,,System Issue,Yes
EX00459,TRD100858,Booking Error,Medium,P2,Resolved,Neha,2026-03-08,2026-03-11,8,System Issue,No
EX00460,TRD100858,Late Confirmation,High,P1,Open,Riya,2026-03-06,2026-03-06,,Incorrect Trade Date,No
EX00461,TRD100577,Booking Error,Medium,P2,Open,Neha,2026-04-15,2026-04-16,,Holiday Calendar,No
EX00462,TRD100577,Late Confirmation,Medium,P2,Open,Ankit,2026-04-14,2026-04-16,,Incorrect Trade Date,No
EX00463,TRD100103,Cash Break,Low,P3,Resolved,Neha,2026-01-27,2026-01-31,36,Trade Amendment,No
EX00464,TRD100103,Confirmation Mismatch,Low,P3,In Progress,Karan,2026-01-21,2026-01-23,,Trade Amendment,No
EX00465,TRD100076,Cash Break,Low,P3,Open,Sneha,2026-05-27,2026-05-27,,Price Difference,No
EX00466,TRD100076,Cash Break,Medium,P2,Open,Arjun,2026-05-23,2026-05-24,,System Issue,No
